kode_bps,nama_bps,kode_dagri,nama_dagri
11,ACEH,11,ACEH
12,SUMATERA UTARA,12,SUMATERA UTARA
13,SUMATERA BARAT,13,SUMATERA BARAT
14,RIAU,14,RIAU
15,JAMBI,15,JAMBI
16,SUMATERA SELATAN,16,SUMATERA SELATAN
17,BENGKULU,17,BENGKULU
18,LAMPUNG,18,LAMPUNG
19,KEP. BANGKA BELITUNG,19,KEP. BANGKA BELITUNG
21,KEP. RIAU,21,KEP. RIAU
31,DKI JAKARTA,31,DKI JAKARTA
32,JAWA BARAT,32,JAWA BARAT
33,JAWA TENGAH,33,JAWA TENGAH
34,DI YOGYAKARTA,34,DI YOGYAKARTA
35,JAWA TIMUR,35,JAWA TIMUR
36,BANTEN,36,BANTEN
51,BALI,51,BALI
52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT
53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR
61,KALIMANTAN BARAT,61,KALIMANTAN BARAT
62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH
63,KALIMANTAN SELATAN,63,KALIMANTAN SELATAN
64,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR
65,KALIMANTAN UTARA,65,KALIMANTAN UTARA
71,SULAWESI UTARA,71,SULAWESI UTARA
72,SULAWESI TENGAH,72,SULAWESI TENGAH
73,SULAWESI SELATAN,73,SULAWESI SELATAN
74,SULAWESI TENGGARA,74,SULAWESI TENGGARA
75,GORONTALO,75,GORONTALO
76,SULAWESI BARAT,76,SULAWESI BARAT
81,MALUKU,81,MALUKU
82,MALUKU UTARA,82,MALUKU UTARA
91,PAPUA BARAT,92,PAPUA BARAT
94,PAPUA,91,PAPUA
